Geo Point;Geo Shape;Kategorie;Bezeichnung;Adresse;Ort;Land;PLZ;Information;Parkplatzart;Anzahl_Parkplätze
47.44414117816263,9.410993295885016;"{""coordinates"": [9.410993295885016, 47.44414117816263], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Brauerstrasse;St.Gallen;Schweiz;9016;Erweiterte Blaue Zone: 3;Erweiterte Blaue Zone;3.0
47.41774410310619,9.348439973716284;"{""coordinates"": [9.348439973716284, 47.41774410310619], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Schönaustrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 3;Erweiterte Blaue Zone;3.0
47.437934171276275,9.390880512219493;"{""coordinates"": [9.390880512219493, 47.437934171276275], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Pelikanstrasse;St.Gallen;Schweiz;9008;Erweiterte Blaue Zone: 3;Erweiterte Blaue Zone;3.0
47.412893191308925,9.342976840957093;"{""coordinates"": [9.342976840957093, 47.412893191308925], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Mingerstrasse;St.Gallen;Schweiz;9014;Erweiterte Blaue Zone: 5;Erweiterte Blaue Zone;5.0
47.41352773661941,9.36463783696642;"{""coordinates"": [9.36463783696642, 47.41352773661941], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Altmannstrasse;St.Gallen;Schweiz;9012;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.404939512828406,9.335067910046716;"{""coordinates"": [9.335067910046716, 47.404939512828406], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Boppartshofstrasse;St.Gallen;Schweiz;9014;Erweiterte Blaue Zone: 3;Erweiterte Blaue Zone;3.0
47.43631914473155,9.383258008158592;"{""coordinates"": [9.383258008158592, 47.43631914473155], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Lessingstrasse;St.Gallen;Schweiz;9008;Erweiterte Blaue Zone: 5;Erweiterte Blaue Zone;5.0
47.43938828029077,9.393441662035269;"{""coordinates"": [9.393441662035269, 47.43938828029077], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Spittelerstrasse;St.Gallen;Schweiz;9008;Erweiterte Blaue Zone: 3;Erweiterte Blaue Zone;3.0
47.436964010460365,9.3789160898003;"{""coordinates"": [9.3789160898003, 47.436964010460365], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Tannenstrasse;St.Gallen;Schweiz;9010;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.43262822257757,9.399742759298746;"{""coordinates"": [9.399742759298746, 47.43262822257757], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Krontalstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.42239615257707,9.373291020662396;"{""coordinates"": [9.373291020662396, 47.42239615257707], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Frongartenstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.40313742209168,9.30050846012236;"{""coordinates"": [9.30050846012236, 47.40313742209168], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Kreuzbühlstrasse;St.Gallen;Schweiz;9015;Erweiterte Blaue Zone: 5;Erweiterte Blaue Zone;5.0
47.44039655670783,9.388904115956109;"{""coordinates"": [9.388904115956109, 47.44039655670783], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Sonnenhaldenstrasse;St.Gallen;Schweiz;9008;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.42781069065233,9.375688121334262;"{""coordinates"": [9.375688121334262, 47.42781069065233], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Kirchgasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.41146131510663,9.342143269678603;"{""coordinates"": [9.342143269678603, 47.41146131510663], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Moosstrasse;St.Gallen;Schweiz;9014;Erweiterte Blaue Zone: 10;Erweiterte Blaue Zone;10.0
47.420062856750164,9.369949587735126;"{""coordinates"": [9.369949587735126, 47.420062856750164], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Unterstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.42067071298806,9.371157205903417;"{""coordinates"": [9.371157205903417, 47.42067071298806], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Teufener Strasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.4255779543792,9.372608757983723;"{""coordinates"": [9.372608757983723, 47.4255779543792], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Bahnhofstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 1;Weiss (bewirtschaftet);1.0
47.43084088886275,9.37587401258515;"{""coordinates"": [9.37587401258515, 47.43084088886275], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Dufourstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.439190266469986,9.392114437605747;"{""coordinates"": [9.392114437605747, 47.439190266469986], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Storchenstrasse;St.Gallen;Schweiz;9008;Erweiterte Blaue Zone: 3;Erweiterte Blaue Zone;3.0
47.43061787062612,9.401941242265417;"{""coordinates"": [9.401941242265417, 47.43061787062612], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Röschstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 3;Erweiterte Blaue Zone;3.0
47.42249379831155,9.374149434930986;"{""coordinates"": [9.374149434930986, 47.42249379831155], ""type"": ""Point""}";Parkplätze, Parkhäuser;Kant. Strassenverkehrsamt und Ausweisstelle Innenhof;Frongartenstrasse;St.Gallen;Schweiz;9000;Invalidenparkplatz: 1;Invalidenparkplatz;1.0
47.42296994195669,9.372592658273055;"{""coordinates"": [9.372592658273055, 47.42296994195669], ""type"": ""Point""}";Parkplätze, Parkhäuser;Tiefgarage Kantonalbank;St.Leonhard-Strasse;St.Gallen;Schweiz;9000;Unterirdisch, Garage: 25;Unterirdisch, Garage;25.0
47.417865634541904,9.381060128585213;"{""coordinates"": [9.381060128585213, 47.417865634541904], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Demutstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.42364877421548,9.364484142513476;"{""coordinates"": [9.364484142513476, 47.42364877421548], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Stauffacherstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.42322995573795,9.382029430611764;"{""coordinates"": [9.382029430611764, 47.42322995573795], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Wildeggstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.406497368418485,9.303305640484204;"{""coordinates"": [9.303305640484204, 47.406497368418485], ""type"": ""Point""}";Parkplätze, Parkhäuser;Parkanlage Kunklerstrasse (Amstrong AG);Kunklerstrasse;St.Gallen;Schweiz;9015;Weiss (bewirtschaftet): 60;Weiss (bewirtschaftet);60.0
47.410522798203225,9.362364206298025;"{""coordinates"": [9.362364206298025, 47.410522798203225], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Hofstettenstrasse;St.Gallen;Schweiz;9012;Erweiterte Blaue Zone: 9;Erweiterte Blaue Zone;9.0
47.418502417725485,9.362927192899216;"{""coordinates"": [9.362927192899216, 47.418502417725485], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Paradiesstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 3;Erweiterte Blaue Zone;3.0
47.42254013660233,9.377771373318122;"{""coordinates"": [9.377771373318122, 47.42254013660233], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Moosbruggstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.421571954381456,9.360073975813233;"{""coordinates"": [9.360073975813233, 47.421571954381456], ""type"": ""Point""}";Parkplätze, Parkhäuser;Bunderverwaltungsgericht;Kreuzackerstrasse;St.Gallen;Schweiz;9000;Kundenparkplatz: 3;Kundenparkplatz;3.0
47.41369128359714,9.30615992513564;"{""coordinates"": [9.30615992513564, 47.41369128359714], ""type"": ""Point""}";Parkplätze, Parkhäuser;Gründenmoos;Gründenstrasse;St.Gallen;Schweiz;9015;Weiss (bewirtschaftet): 11;Weiss (bewirtschaftet);11.0
