"GEONR";"GEONAME";"CLASS_HAB";"VARIABLE";"VALUE";"STATUS"
"2125";"Bulle";4;"bew_mie_z3_t";4407;"A"
"2125";"Bulle";4;"bew_mie_z3_ic";0.1;"A"
"2125";"Bulle";4;"bew_mie_z4_t";4424;"A"
"2125";"Bulle";4;"bew_mie_z4_ic";0.1;"A"
"2125";"Bulle";4;"bew_mie_z5_t";855;"A"
"2125";"Bulle";4;"bew_mie_z5_ic";0.3;"A"
"2125";"Bulle";4;"bew_mie_z6_t";;"Q"
"2125";"Bulle";4;"bew_mie_z6_ic";;"Q"
"6608";"Carouge (GE)";4;"bew_mie_t";14294;"A"
"6608";"Carouge (GE)";4;"bew_mie_t_ic";0.05;"A"
"6608";"Carouge (GE)";4;"bew_mie_z1_t";714;"A"
"6608";"Carouge (GE)";4;"bew_mie_z1_ic";0.2;"A"
"6608";"Carouge (GE)";4;"bew_mie_z2_t";2369;"A"
"6608";"Carouge (GE)";4;"bew_mie_z2_ic";0.1;"A"
"6608";"Carouge (GE)";4;"bew_mie_z3_t";4130;"A"
"6608";"Carouge (GE)";4;"bew_mie_z3_ic";0.1;"A"
"6608";"Carouge (GE)";4;"bew_mie_z4_t";4283;"A"
"6608";"Carouge (GE)";4;"bew_mie_z4_ic";0.1;"A"
"6608";"Carouge (GE)";4;"bew_mie_z5_t";2098;"A"
"6608";"Carouge (GE)";4;"bew_mie_z5_ic";0.2;"A"
"6608";"Carouge (GE)";4;"bew_mie_z6_t";700;"A"
"6608";"Carouge (GE)";4;"bew_mie_z6_ic";0.4;"A"
"3901";"Chur";4;"bew_mie_t";21313;"A"
"3901";"Chur";4;"bew_mie_t_ic";0.05;"A"
"3901";"Chur";4;"bew_mie_z1_t";1263;"A"
"3901";"Chur";4;"bew_mie_z1_ic";0.2;"A"
"3901";"Chur";4;"bew_mie_z2_t";2431;"A"
"3901";"Chur";4;"bew_mie_z2_ic";0.1;"A"
"3901";"Chur";4;"bew_mie_z3_t";6262;"A"
"3901";"Chur";4;"bew_mie_z3_ic";0.1;"A"
"3901";"Chur";4;"bew_mie_z4_t";9018;"A"
"3901";"Chur";4;"bew_mie_z4_ic";0.1;"A"
"3901";"Chur";4;"bew_mie_z5_t";2018;"A"
"3901";"Chur";4;"bew_mie_z5_ic";0.2;"A"
"3901";"Chur";4;"bew_mie_z6_t";322;"U"
"3901";"Chur";4;"bew_mie_z6_ic";0.4;"U"
"243";"Dietikon";4;"bew_mie_t";17463;"A"
"243";"Dietikon";4;"bew_mie_t_ic";0.06;"A"
"243";"Dietikon";4;"bew_mie_z1_t";588;"U"
"243";"Dietikon";4;"bew_mie_z1_ic";0.3;"U"
"243";"Dietikon";4;"bew_mie_z2_t";2183;"A"
"243";"Dietikon";4;"bew_mie_z2_ic";0.2;"A"
"243";"Dietikon";4;"bew_mie_z3_t";7186;"A"
"243";"Dietikon";4;"bew_mie_z3_ic";0.1;"A"
"243";"Dietikon";4;"bew_mie_z4_t";6414;"A"
"243";"Dietikon";4;"bew_mie_z4_ic";0.1;"A"
"243";"Dietikon";4;"bew_mie_z5_t";854;"A"
"243";"Dietikon";4;"bew_mie_z5_ic";0.3;"A"
"243";"Dietikon";4;"bew_mie_z6_t";237;"U"
"243";"Dietikon";4;"bew_mie_z6_ic";0.6;"U"
"191";"Dübendorf";4;"bew_mie_t";16404;"A"
"191";"Dübendorf";4;"bew_mie_t_ic";0.06;"A"
"191";"Dübendorf";4;"bew_mie_z1_t";749;"A"
"191";"Dübendorf";4;"bew_mie_z1_ic";0.3;"A"
"191";"Dübendorf";4;"bew_mie_z2_t";2013;"A"
"191";"Dübendorf";4;"bew_mie_z2_ic";0.2;"A"
"191";"Dübendorf";4;"bew_mie_z3_t";5931;"A"
"191";"Dübendorf";4;"bew_mie_z3_ic";0.1;"A"
"191";"Dübendorf";4;"bew_mie_z4_t";6318;"A"
"191";"Dübendorf";4;"bew_mie_z4_ic";0.1;"A"
"191";"Dübendorf";4;"bew_mie_z5_t";1145;"A"
"191";"Dübendorf";4;"bew_mie_z5_ic";0.2;"A"
"191";"Dübendorf";4;"bew_mie_z6_t";248;"U"
"191";"Dübendorf";4;"bew_mie_z6_ic";0.6;"U"
"1024";"Emmen";4;"bew_mie_t";17955;"A"
"1024";"Emmen";4;"bew_mie_t_ic";0.04;"A"
"1024";"Emmen";4;"bew_mie_z1_t";424;"A"
"1024";"Emmen";4;"bew_mie_z1_ic";0.3;"A"
"1024";"Emmen";4;"bew_mie_z2_t";1890;"A"
"1024";"Emmen";4;"bew_mie_z2_ic";0.1;"A"
"1024";"Emmen";4;"bew_mie_z3_t";5889;"A"
"1024";"Emmen";4;"bew_mie_z3_ic";0.1;"A"
"1024";"Emmen";4;"bew_mie_z4_t";7824;"A"
"1024";"Emmen";4;"bew_mie_z4_ic";0.1;"A"
"1024";"Emmen";4;"bew_mie_z5_t";1683;"A"
"1024";"Emmen";4;"bew_mie_z5_ic";0.1;"A"
"1024";"Emmen";4;"bew_mie_z6_t";245;"U"
"1024";"Emmen";4;"bew_mie_z6_ic";0.4;"U"
"4566";"Frauenfeld";4;"bew_mie_t";12689;"A"
"4566";"Frauenfeld";4;"bew_mie_t_ic";0.05;"A"
"4566";"Frauenfeld";4;"bew_mie_z1_t";461;"A"
"4566";"Frauenfeld";4;"bew_mie_z1_ic";0.2;"A"
"4566";"Frauenfeld";4;"bew_mie_z2_t";1323;"A"
"4566";"Frauenfeld";4;"bew_mie_z2_ic";0.1;"A"
"4566";"Frauenfeld";4;"bew_mie_z3_t";3977;"A"
"4566";"Frauenfeld";4;"bew_mie_z3_ic";0.1;"A"
"4566";"Frauenfeld";4;"bew_mie_z4_t";5470;"A"
"4566";"Frauenfeld";4;"bew_mie_z4_ic";0.1;"A"
"4566";"Frauenfeld";4;"bew_mie_z5_t";1164;"A"
"4566";"Frauenfeld";4;"bew_mie_z5_ic";0.2;"A"
"4566";"Frauenfeld";4;"bew_mie_z6_t";295;"U"
"4566";"Frauenfeld";4;"bew_mie_z6_ic";0.3;"U"
"2196";"Fribourg";4;"bew_mie_t";22010;"A"
"2196";"Fribourg";4;"bew_mie_t_ic";0.05;"A"
"2196";"Fribourg";4;"bew_mie_z1_t";1704;"A"
"2196";"Fribourg";4;"bew_mie_z1_ic";0.2;"A"
"2196";"Fribourg";4;"bew_mie_z2_t";3600;"A"
"2196";"Fribourg";4;"bew_mie_z2_ic";0.1;"A"
"2196";"Fribourg";4;"bew_mie_z3_t";7952;"A"
"2196";"Fribourg";4;"bew_mie_z3_ic";0.1;"A"
"2196";"Fribourg";4;"bew_mie_z4_t";7097;"A"
"2196";"Fribourg";4;"bew_mie_z4_ic";0.1;"A"
"2196";"Fribourg";4;"bew_mie_z5_t";1432;"A"
"2196";"Fribourg";4;"bew_mie_z5_ic";0.2;"A"
"2196";"Fribourg";4;"bew_mie_z6_t";225;"U"
"2196";"Fribourg";4;"bew_mie_z6_ic";0.5;"U"
"295";"Horgen";4;"bew_mie_t";10749;"A"
"295";"Horgen";4;"bew_mie_t_ic";0.07;"A"
"295";"Horgen";4;"bew_mie_z1_t";186;"U"
"295";"Horgen";4;"bew_mie_z1_ic";0.5;"U"
"295";"Horgen";4;"bew_mie_z2_t";1005;"A"
"295";"Horgen";4;"bew_mie_z2_ic";0.2;"A"
"295";"Horgen";4;"bew_mie_z3_t";3791;"A"
"295";"Horgen";4;"bew_mie_z3_ic";0.1;"A"
"295";"Horgen";4;"bew_mie_z4_t";4660;"A"
"295";"Horgen";4;"bew_mie_z4_ic";0.1;"A"
"295";"Horgen";4;"bew_mie_z5_t";938;"A"
"295";"Horgen";4;"bew_mie_z5_ic";0.2;"A"
"295";"Horgen";4;"bew_mie_z6_t";169;"U"
"295";"Horgen";4;"bew_mie_z6_ic";0.6;"U"
"62";"Kloten";4;"bew_mie_t";11801;"A"
"62";"Kloten";4;"bew_mie_t_ic";0.07;"A"
"62";"Kloten";4;"bew_mie_z1_t";541;"U"
"62";"Kloten";4;"bew_mie_z1_ic";0.3;"U"
"62";"Kloten";4;"bew_mie_z2_t";1370;"A"
"62";"Kloten";4;"bew_mie_z2_ic";0.2;"A"
"62";"Kloten";4;"bew_mie_z3_t";4104;"A"
"62";"Kloten";4;"bew_mie_z3_ic";0.1;"A"
"62";"Kloten";4;"bew_mie_z4_t";4794;"A"
